31908,WR,"['8.20', '23.20', '8.20', '29.30', '6.60', '4.80', '23.70', '5.00', '8.90', '19.80', '7.10', '3.70', '0.00', '6.10', '5.50', '9.60', '12.30']"
30161,RB,"['25.00', '8.60', '10.90', '14.20', '10.00', '24.80', '12.90', '23.10', '26.50', '26.30', '32.30', '10.40', '8.80', '7.50', '30.50', '12.10', '0.00']"
33412,RB,"['5.40', '16.60', '22.20', '19.10', '23.20', '22.70', '20.50', '16.30', '17.30', '14.40', '5.20', '14.20', '24.90', '3.60', '14.50', '30.10', '7.50']"
28392,WR,"['34.40', '3.90', '4.10', '15.40', '13.50', '8.00', '24.20', '4.70', '7.10', '0.00', '0.00', '5.10', '13.60', '1.80', '19.00', '9.30', '11.40']"
27535,WR,"['3.90', '23.00', '15.60', '12.00', '28.30', '3.70', '29.60', '11.80', '13.20', '18.30', '3.10', '14.40', '19.10', '1.90', '0.00', '12.70', '24.90']"
32687,WR,"['21.50', '14.40', '9.40', '2.30', '18.65', '33.60', '16.05', '3.30', '27.55', '2.90', '0.00', '18.45', '11.30', '8.00', '10.45', '7.35', '6.05']"
30977,QB,"['18.20', '17.66', '39.22', '22.02', '39.50', '31.72', '31.46', '13.56', '23.94', '18.16', '29.70', '11.70', '40.22', '21.80', '33.96', '24.90', '25.86']"
30362,RB,"['12.20', '15.10', '16.20', '3.60', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
26664,WR,"['10.90', '9.50', '5.30', '12.80', '23.00', '10.10', '13.00', '19.20', '14.90', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
31002,QB,"['20.00', '37.26', '22.28', '21.44', '44.88', '14.78', '25.08', '35.64', '17.42', '0.00', '14.40', '20.62', '1.18', '0.00', '0.00', '0.00', '0.00']"
30197,WR,"['20.00', '14.20', '17.60', '7.00', '11.50', '6.80', '23.10', '26.00', '9.20', '17.20', '2.70', '24.70', '16.50', '7.90', '0.00', '0.00', '0.00']"
31856,RB,"['16.50', '0.00', '0.00', '8.20', '14.70', '15.70', '14.30', '12.50', '6.10', '8.60', '19.20', '20.50', '7.50', '11.90', '12.90', '17.00', '23.40']"
24793,WR,"['4.40', '17.80', '6.20', '0.00', '0.00', '7.40', '4.80', '0.00', '5.50', '0.00', '0.00', '0.00', '5.30', '0.00', '1.20', '0.00', '14.30']"
